EryA,EryB,GMP,MEP,MPP,CMP
4.98,3.45,28.72,5.66,53.54,23.65
7.47,15.18,9.96,7.84,30.92,23.65
8.71,7.59,77.96,3.92,21.23,37.07
3.73,3.45,8.21,7.84,35.08,10.24
17.42,20.01,9.96,57.92,12,9.53
7.47,10.35,25.79,40.94,13.85,27.18
8.71,7.59,33.41,23.52,45.23,25.07
33.6,26.91,6.45,67.94,12.46,9.53
31.11,20.7,32.82,75.78,39.69,28.6
13.69,6.9,45.13,55.31,105.69,44.84
22.4,13.11,35.17,69.68,91.38,45.54
21.15,14.49,15.24,35.28,7.38,27.89
12.44,23.46,41.62,36.15,8.31,30.01
1.24,4.14,29.31,7.84,36.46,40.6
3.73,8.28,29.89,15.24,24.46,27.54
7.47,11.04,93.79,43.55,86.77,76.61
16.18,15.18,41.62,31.36,30,26.83
17.42,20.7,22.27,35.71,55.38,31.42
2.49,6.9,28.72,32.23,19.38,16.95
9.95,8.97,56.27,14.81,47.08,43.07
17.42,18.63,42.2,31.79,33.23,33.19
8.71,3.45,77.96,18.73,68.31,61.43
3.73,6.21,39.86,9.58,56.77,27.89
4.98,4.14,35.76,0.87,6,37.42
4.98,4.83,60.37,13.5,41.54,63.55
11.2,33.13,2.34,63.58,10.15,7.41
1.24,2.07,66.24,10.89,63.23,44.84
6.22,2.07,65.06,18.29,65.08,22.95
4.98,8.97,8.79,15.24,40.61,20.12
7.47,8.28,59.2,21.34,54.46,41.31
12.44,19.32,52.17,70.55,12,56.49
22.4,12.42,62.72,42.68,76.61,48.37
6.22,12.42,71.51,16.11,59.54,52.25
4.98,13.11,34,66.63,27.69,22.59
1.24,7.59,15.83,18.29,45.69,34.24
4.98,10.35,5.28,52.26,21.69,18
12.44,5.52,35.76,10.45,29.08,16.24
16.18,12.42,46.89,20.03,105.23,65.31
9.95,13.11,23.45,15.68,48.92,16.59
18.67,26.91,17.58,40.07,64.61,31.42
12.44,17.94,30.48,40.94,34.15,33.19
34.84,31.75,9.38,60.1,13.85,15.53
33.6,27.6,45.72,65.76,70.15,38.83
16.18,11.04,42.2,23.52,50.31,37.42
12.44,11.73,40.44,12.19,43.85,27.54
12.44,4.14,31.07,6.1,14.77,31.07
3.73,3.45,32.24,8.27,29.08,20.48
8.71,9.66,24.62,8.27,22.62,14.12
6.22,4.14,83.82,4.79,44.77,57.54
9.95,22.77,58.03,5.23,37.38,42.36
1.24,7.59,37.51,12.19,8.31,32.83
7.47,6.21,48.06,11.76,18.92,32.13
13.69,0.69,57.44,7.4,29.08,42.72
6.22,3.45,20.52,3.48,16.62,22.59
4.98,8.97,47.48,8.27,17.54,27.18
8.71,16.56,36.93,33.97,57.23,22.95
12.44,4.83,40.44,7.4,16.15,35.3
3.73,20.01,19.34,0.87,58.15,20.48
29.86,22.08,29.31,29.18,59.08,46.95
114.48,134.57,39.27,43.55,29.08,55.78
17.42,12.42,69.17,11.32,72.46,42.01
19.91,22.77,51,13.5,71.54,44.13
4.98,13.8,59.79,20.47,126.92,50.13
9.95,20.7,12.31,7.84,37.38,15.53
7.47,19.32,15.24,15.68,49.85,27.18
19.91,11.73,86.17,10.89,55.85,43.78
48.53,64.18,41.03,36.58,21.23,37.42
102.04,131.12,3.52,99.3,4.15,14.83
52.26,69.01,26.38,42.24,27.23,16.24
74.66,73.84,12.9,97.55,14.31,13.77
32.35,27.6,45.13,57.92,60,46.25
6.22,15.87,35.76,32.23,34.15,24.71
12.44,4.14,3.52,7.4,25.85,7.06
2.49,5.52,9.96,11.76,7.85,8.47
8.71,7.59,30.48,11.76,23.54,24.36
7.47,5.52,6.45,13.5,38.77,19.06
2.49,5.52,52.17,11.76,67.38,32.13
11.2,13.8,21.1,38.76,16.15,27.18
6.22,2.76,8.21,15.24,18.46,8.12
2.49,11.04,6.45,6.1,7.85,23.65
1.24,5.52,8.21,12.19,12.92,14.47
6.22,4.14,9.96,5.66,11.08,6
4.98,10.35,13.48,10.02,14.31,22.59
4.98,13.8,8.21,6.53,14.77,10.24
7.47,7.59,30.48,7.4,40.15,29.3
9.95,3.45,49.24,3.05,5.54,55.78
7.47,4.14,63.31,5.23,54.46,56.49
11.2,7.59,59.2,13.07,68.77,63.19
23.64,18.63,10.55,54.87,11.08,14.12
14.93,13.8,35.76,14.37,12.46,31.42
6.22,10.35,16.41,16.11,15.23,20.83
6.22,13.8,15.24,37.45,10.62,28.24
6.22,0.69,21.1,12.19,43.85,25.77
2.49,2.76,9.38,5.66,3.23,4.24
2.49,8.97,30.48,14.37,7.38,24.36
1.24,0,5.28,6.97,47.54,13.77
8.71,5.52,39.27,42.68,57.69,32.83
8.71,10.35,8.79,16.98,7.38,9.18
6.22,3.45,3.52,7.84,6,8.47
12.44,0,8.79,7.4,4.62,9.18
3.73,4.83,9.38,9.58,13.38,15.89
2.49,4.83,56.86,20.47,51.69,51.9
9.95,3.45,1.17,6.1,16.15,9.53
4.98,11.73,32.82,8.71,76.15,30.71
23.64,18.63,8.79,39.2,0.46,5.65
19.91,12.42,5.86,43.12,9.69,13.06
14.93,22.08,5.28,59.23,2.31,6.35
11.2,18.63,16.41,27.44,23.54,18
14.93,17.94,0.59,49.65,6,4.59
19.91,20.01,7.03,60.1,10.15,8.12
21.15,25.53,27.55,26.57,68.31,26.12
21.15,20.01,4.1,71.42,5.08,10.24
37.33,55.9,3.52,74.47,4.62,15.89
4.98,10.35,49.82,13.94,9.69,18.71
17.42,8.28,35.76,41.81,15.69,39.54
26.13,16.56,86.75,51.39,46.61,64.61
12.44,13.11,58.62,56.18,45.69,38.13
8.71,9.66,17.58,16.55,6.46,11.3
12.44,12.42,39.27,19.6,25.38,37.07
21.15,19.32,48.06,60.1,22.15,37.42
18.67,15.18,17.58,85.36,23.54,30.01
12.44,9.66,10.55,42.68,6,11.65
38.58,41.41,12.9,82.31,6.92,12.36
22.4,16.56,11.72,16.98,11.54,15.18
29.86,22.77,11.72,58.36,4.62,7.77
