CMP,EryA,EryB,GMP,MPP,Mono,MEP,GN
44.13,2.49,3.45,70.34,39.23,41.37,16.55,41.65
22.24,12.44,6.9,26.96,23.08,15.89,43.99,9.11
60.37,3.73,5.52,85.58,50.77,38.08,11.32,18.65
36.72,13.69,2.76,51,69.23,26.85,10.45,16.05
39.19,13.69,1.38,42.79,59.08,18.63,10.45,10.41
4.94,8.71,1.38,3.52,4.62,3.29,2.61,4.34
34.24,4.98,0.69,41.62,29.08,36.99,10.89,81.99
35.3,4.98,3.45,45.13,24.46,25.48,9.15,52.93
48.37,3.73,5.52,74.44,62.77,46.03,16.98,101.51
3.53,7.47,15.87,7.03,4.15,7.95,55.75,16.49
16.59,18.67,12.42,21.69,12,8.49,37.89,16.92
16.59,12.44,8.28,8.21,11.08,10.69,86.67,6.51
10.59,6.22,15.18,10.55,11.08,4.38,39.63,7.38
7.06,13.69,5.52,10.55,9.23,4.11,56.62,4.34
14.47,3.73,2.07,9.38,9.23,3.84,3.48,7.38
27.54,12.44,7.59,24.62,40.15,11.23,18.73,15.62
51.54,8.71,4.14,36.93,76.15,13.15,20.47,11.28
11.65,16.18,8.97,15.83,22.62,5.48,7.4,7.81
4.24,3.73,2.07,4.69,5.54,5.21,4.36,5.64
8.83,13.69,8.28,4.1,18.46,8.77,12.63,8.68
24.71,11.2,8.97,26.96,28.15,18.08,37.02,12.15
54.72,18.67,24.84,84.99,22.62,63.02,73.17,71.15
9.53,46.04,49.69,9.38,2.77,8.77,80.13,7.81
44.48,16.18,13.11,38.69,46.61,40.55,16.98,72.01
25.07,18.67,16.56,45.72,17.54,45.21,40.5,19.52
12.71,18.67,26.22,15.83,8.77,17.26,19.16,19.09
16.95,44.8,40.72,14.65,21.69,13.97,39.2,14.32
35.3,90.84,79.36,37.51,41.54,47.13,56.18,64.21
38.13,27.38,13.8,39.27,33.69,50.96,29.61,30.8
18.36,14.93,11.73,42.79,12,56.44,12.19,38.18
30.36,16.18,15.87,29.31,22.62,44.39,6.97,17.79
19.77,14.93,11.73,11.14,32.31,25.21,16.55,9.98
42.36,7.47,4.83,41.03,1.85,41.37,8.27,93.71
24.01,6.22,8.97,15.83,3.23,34.8,3.05,72.88
29.3,11.2,14.49,39.86,25.85,68.77,16.98,65.07
33.54,8.71,5.52,38.1,20.77,78.36,8.71,66.81
6.35,8.71,2.07,3.52,4.15,10.96,2.18,19.52
43.42,7.47,11.04,59.79,19.85,54.25,4.79,104.12
7.77,6.22,4.14,16.41,3.23,20.82,3.05,41.65
6,13.69,4.14,2.34,3.69,17.54,7.4,13.88
5.65,4.98,4.14,7.62,6,7.4,7.4,9.54
8.12,7.47,8.97,7.03,4.15,9.32,11.32,9.11
30.01,7.47,5.52,34.58,11.54,41.1,12.63,54.23
9.53,29.86,37.27,2.34,3.23,8.49,50.52,9.98
30.01,3.73,8.97,28.72,31.85,13.15,17.86,8.68
9.88,6.22,10.35,5.28,19.38,14.25,6.1,7.38
48.01,13.69,15.18,53.34,55.85,51.78,36.58,35.57
51.19,8.71,6.9,47.48,66.92,22.47,49.21,18.22
53.31,12.44,4.83,45.13,25.38,21.65,21.78,35.57
41.31,12.44,10.35,66.82,23.54,27.12,29.18,29.93
61.08,11.2,4.83,75.61,80.31,23.56,23.08,36.44
27.89,7.47,8.28,31.07,42,18.36,15.24,12.15
22.59,6.22,8.97,14.65,45.69,8.22,10.89,3.9
34.6,9.95,6.21,25.2,44.31,10.41,10.89,15.18
52.25,2.49,8.28,41.62,104.77,7.95,37.02,10.41
36.36,1.24,3.45,29.89,42.92,12.88,8.27,13.88
21.18,8.71,15.18,9.96,24.92,10.41,44.42,13.45
32.13,11.2,7.59,38.1,13.38,42.19,12.63,52.49
50.13,12.44,10.35,85.58,6.92,54.25,15.68,27.33
24.01,6.22,6.21,28.14,42.92,15.62,5.66,12.15
13.42,17.42,27.6,15.24,19.38,14.25,54.44,7.38
24.36,1.24,4.83,15.83,44.31,11.78,16.11,15.18
17.65,9.95,11.04,15.24,7.38,20.55,20.03,29.5
34.6,21.15,30.37,26.96,22.15,24.39,28.74,33.4
24.36,6.22,11.73,12.31,26.77,8.77,7.84,8.24
2.47,6.22,8.28,2.34,4.62,4.38,3.05,5.21
5.3,9.95,3.45,3.52,3.23,4.93,4.36,1.3
25.77,8.71,4.83,40.44,7.38,36.99,3.48,62.47
15.53,4.98,4.83,14.07,6.46,20.28,7.84,56.83
24.36,1.24,6.9,21.1,3.69,27.67,12.63,55.1
24.71,6.22,6.21,18.76,9.69,32.6,7.84,59.87
47.66,3.73,3.45,62.72,32.77,30.41,8.27,33.84
21.54,11.2,6.21,7.62,11.54,9.32,44.86,13.88
7.06,7.47,2.07,2.93,10.15,3.56,3.48,3.47
8.12,12.44,9.66,11.14,16.62,20.28,20.9,62.9
39.89,14.93,10.35,34.58,20.77,10.14,46.6,21.69
20.12,4.98,4.83,14.07,37.85,7.4,21.34,6.07
6.71,9.95,10.35,7.03,13.85,5.75,22.21,2.6
34.95,11.2,16.56,17,52.61,9.59,39.2,13.01
19.77,89.59,62.8,12.9,14.31,6.03,64.89,8.68
