UNIQUD,NAME,MPP,CLP,CMP,GMP,MEP,CD8
NR_040715,4933422A05Rik,0,0,0,0,1.607,0.8312
NM_146157,Emc1,35.1752,73.8357,87.9906,97.1111,242.8099,78.1588
NM_146423,Olfr887,0,0,0,0,0,0
NM_009052,Bex1,19.812,19.3071,5.5879,8.0625,1.6083,1.6636
NM_177781,Trpa1,3.5424,0,1.3973,0.3664,0,0
NM_008390,Irf1,225.8357,216.2067,171.8065,144.753,89.2437,696.807
NR_046022,Gm20751,0,0,0,0,0,0
NM_001204905,4930558K02Rik,8.0061,2.651,0,0,1.6097,3.3271
NM_021344,Tesc,3.1493,10.2206,3.8413,3.2984,0.8035,110.5932
NR_105789,Mir6370,0,0,0,0,0,0
NM_021406,Trem1,14.8385,28.4064,12.923,54.2342,1.607,0
NM_027797,Tmem80,40.158,68.1603,45.0472,40.3107,166.4208,125.5512
NM_016756,Cdk2,97.1206,132.519,231.176,211.0823,366.6358,59.0422
NM_007745,Cort,2.2305,4.9226,1.3971,2.1991,8.8411,0.8318
NM_001256056,9330182O14Rik,0.5248,0,0,0,0,0
NM_178753,Spin4,0,0,0.3491,0,0,0
NM_026912,Snx15,74.0078,128.7507,116.2805,115.4347,262.906,69.0156
NM_011565,Tead2,6.6914,3.7859,3.84,2.9317,0,0.8312
NM_029203,Rhox2a,0,0,0,0,0,0
NM_001037130,Musk,4.3296,0,0.6981,0.3662,0,0
NM_008824,Pfkfb1,5.6446,4.9211,6.2856,11.7265,8.8462,11.6413
NM_207707,Esr2,4.3296,1.5146,1.0476,1.0995,4.0213,0
NM_001017983,Foxred2,92.6376,122.6632,100.9223,74.7587,78.7854,21.6191
NM_015796,Fbxo17,23.6192,39.0018,15.7163,9.1622,8.85,40.7382
NR_104093,Gtf2a2,144.4873,261.6658,265.3941,289.1359,976.0251,192.9066
NM_001134300,8430427H17Rik,34.7851,41.6577,104.7668,34.4474,199.3973,12.4732
NM_001276341,Dnm1l,77.1728,107.9132,155.3946,151.3467,283.8054,122.2278
NM_013749,Tnfrsf12a,19.5572,11.7375,13.2671,21.6217,20.9061,13.3044
NM_177756,Colgalt2,7.0848,0,0.6981,2.1986,1.607,0
NM_001163577,Prom1,3.8074,10.9852,3.842,35.5474,4.8247,0
NM_029570,Atp11b,182.9689,234.7192,341.8695,339.3484,584.4723,690.1465
NM_024441,Hspb2,0,0,0,0,0,0
NM_026961,2200002J24Rik,0,0,0.6986,0,0,0
NR_105879,Mir6914,0,0,0,0,0,0
NM_026189,Eepd1,19.4245,34.0824,39.8115,51.3055,15.2712,4.1589
NM_029374,12-Sep,0,0,0,0,0,0
NM_026091,1700037H04Rik,209.5203,250.7336,277.5959,369.3877,1140.945,80.6567
NM_133707,1810019J16Rik,0,0,0,0,0.8048,0
NM_001161410,Trappc12,154.988,210.1947,246.5305,247.3647,611.0578,267.7414
NM_001042612,Nlrp9c,2.8865,0,0,0,0,0
NM_177746,Awat2,1.9697,2.2713,7.3332,1.8327,2.4118,0.8312
NR_105022,1010001N08Rik,0,0,0,0,0,0
NM_001004143,Usp22,70.7325,94.2828,90.7861,68.8944,41.8081,78.1644
NM_028846,Usp20,48.8086,56.0414,43.9984,43.6065,128.6298,165.4721
NM_001173506,Map1a,2.493,0,0.3491,0,0,0
NM_001199177,Opa1,69.5661,117.3866,146.3139,137.7883,372.2785,94.7964
NM_177697,Vwa3a,7.3478,0,0,0,7.2352,4.1588
NM_178926,Vmac,44.2195,65.122,36.317,42.1443,76.3933,79.8165
NM_010782,Mcpt9,0,0,0,0,0,0
NR_040340,Gm16157,6.56,0.3785,0,4.3981,0,28.2679
NM_001166716,Vmn1r113,0,0,0,0,0,0
NR_103487,LOC381967,0,0,0,0,0,0
NM_028122,Slc14a1,91.2141,188.5636,184.0262,35.9137,904.4485,157.1568
NM_010392,H2-Q2,0.2624,0,0,0.7331,0,0
NM_172458,Zfp871,48.4406,148.0161,154.6896,156.8427,322.3816,303.5126
NM_025620,Rep15,0.3936,3.7894,0,1.4658,0,0
NM_016779,Dmp1,0.2625,0,0,0,0,0
NM_016864,Atoh7,0,0,0,0,0,0
NM_019775,Cpb2,4.9887,1.8927,0,0.7328,0,1.6636
NR_028109,Fam172a,193.5822,307.8352,349.2097,329.8097,545.9264,810.7022
NM_172778,Maob,2.2304,0,0.3495,0,0.8048,0
NM_001161842,Il18r1,4.1986,23.4725,0.6983,0.3665,2.4131,40.7446
NM_019459,Nphs1,0.5248,0,0,0,0.8048,1.6624
NR_045280,BC048602,3.0178,0.3789,0,0,0.8035,0
NM_001029938,Rilp,1.181,4.921,0.6986,5.8626,4.8247,0.8318
NM_001168392,Ramp1,82.0261,98.4321,133.7409,123.4989,51.4605,28.2683
NM_010189,Fcgrt,11.2837,94.7127,13.9683,6.2302,5.6296,47.3958
NR_040534,Gm10548,1.7058,1.1356,1.0479,0.3665,3.2153,28.2722
NM_026696,0610030E20Rik,71.7933,109.8027,111.0471,114.3332,246.008,145.5194
NM_009687,Apex1,225.5957,323.7785,401.2211,398.3475,647.1973,109.7568
NM_001100415,Gm14430,0,0,0,0,0,0
NM_009696,Apoe,287.6571,3939.3043,1276.6298,412.6387,2208.5478,43.2363
NM_001163625,Sult6b1,0.9184,1.1356,0.3494,0,0,0
NM_178116,Camta2,118.7818,147.2945,106.8594,128.2625,222.7087,269.4086
