CMP,EryA,GMP,MEP,MPP
21.54,11.2,7.62,44.86,11.54
7.06,7.47,2.93,3.48,10.15
8.12,12.44,11.14,20.9,16.62
39.89,14.93,34.58,46.6,20.77
20.12,4.98,14.07,21.34,37.85
6.71,9.95,7.03,22.21,13.85
34.95,11.2,17,39.2,52.61
19.77,89.59,12.9,64.89,14.31
7.41,158.03,6.45,44.42,13.85
27.54,8.71,36.34,29.18,23.54
29.3,14.93,28.14,58.79,35.54
26.83,27.38,11.14,39.63,14.77
20.83,3.73,21.1,16.98,47.54
30.36,3.73,24.62,28.74,38.31
32.83,8.71,19.34,35.28,40.61
27.89,8.71,7.03,38.33,13.85
26.83,12.44,11.72,22.65,50.31
49.42,4.98,59.2,27.87,77.08
38.83,11.2,17,80.13,61.85
55.78,16.18,58.03,27.44,49.38
28.24,0,29.31,18.73,40.61
43.07,12.44,35.17,16.11,63.23
39.19,13.69,35.17,17.86,44.77
19.42,9.95,4.1,13.07,40.61
40.25,6.22,18.76,44.86,50.77
39.89,9.95,46.31,45.29,72.92
23.3,17.42,12.31,59.67,20.77
24.01,4.98,26.38,19.16,40.61
57.19,12.44,62.72,33.53,115.38
20.12,4.98,31.07,7.84,79.38
4.94,33.6,2.93,29.61,2.77
17.3,14.93,7.03,45.29,24.46
7.41,3.73,11.72,9.58,10.62
9.18,16.18,8.21,9.58,9.23
8.83,12.44,4.1,45.73,6.92
31.42,0,36.34,10.45,66
17.3,4.98,25.2,21.34,44.31
33.19,9.95,32.24,16.11,29.54
33.54,9.95,25.2,2.61,54
13.42,9.95,10.55,4.79,54.46
40.25,13.69,28.72,11.76,105.69
16.59,2.49,19.34,9.15,43.85
22.59,8.71,17,16.98,78.46
31.07,8.71,50.41,7.84,36
16.95,1.24,7.62,8.71,61.85
23.65,4.98,28.72,5.66,53.54
23.65,7.47,9.96,7.84,30.92
37.07,8.71,77.96,3.92,21.23
10.24,3.73,8.21,7.84,35.08
9.53,17.42,9.96,57.92,12
27.18,7.47,25.79,40.94,13.85
25.07,8.71,33.41,23.52,45.23
9.53,33.6,6.45,67.94,12.46
28.6,31.11,32.82,75.78,39.69
44.84,13.69,45.13,55.31,105.69
45.54,22.4,35.17,69.68,91.38
27.89,21.15,15.24,35.28,7.38
30.01,12.44,41.62,36.15,8.31
40.6,1.24,29.31,7.84,36.46
27.54,3.73,29.89,15.24,24.46
76.61,7.47,93.79,43.55,86.77
26.83,16.18,41.62,31.36,30
31.42,17.42,22.27,35.71,55.38
16.95,2.49,28.72,32.23,19.38
43.07,9.95,56.27,14.81,47.08
33.19,17.42,42.2,31.79,33.23
61.43,8.71,77.96,18.73,68.31
27.89,3.73,39.86,9.58,56.77
37.42,4.98,35.76,0.87,6
63.55,4.98,60.37,13.5,41.54
7.41,11.2,2.34,63.58,10.15
44.84,1.24,66.24,10.89,63.23
22.95,6.22,65.06,18.29,65.08
20.12,4.98,8.79,15.24,40.61
41.31,7.47,59.2,21.34,54.46
56.49,12.44,52.17,70.55,12
48.37,22.4,62.72,42.68,76.61
52.25,6.22,71.51,16.11,59.54
22.59,4.98,34,66.63,27.69
34.24,1.24,15.83,18.29,45.69
18,4.98,5.28,52.26,21.69
16.24,12.44,35.76,10.45,29.08
65.31,16.18,46.89,20.03,105.23
16.59,9.95,23.45,15.68,48.92
31.42,18.67,17.58,40.07,64.61
33.19,12.44,30.48,40.94,34.15
15.53,34.84,9.38,60.1,13.85
38.83,33.6,45.72,65.76,70.15
37.42,16.18,42.2,23.52,50.31
27.54,12.44,40.44,12.19,43.85
31.07,12.44,31.07,6.1,14.77
20.48,3.73,32.24,8.27,29.08
14.12,8.71,24.62,8.27,22.62
57.54,6.22,83.82,4.79,44.77
42.36,9.95,58.03,5.23,37.38
32.83,1.24,37.51,12.19,8.31
32.13,7.47,48.06,11.76,18.92
42.72,13.69,57.44,7.4,29.08
22.59,6.22,20.52,3.48,16.62
27.18,4.98,47.48,8.27,17.54
22.95,8.71,36.93,33.97,57.23
35.3,12.44,40.44,7.4,16.15
20.48,3.73,19.34,0.87,58.15
46.95,29.86,29.31,29.18,59.08
55.78,114.48,39.27,43.55,29.08
42.01,17.42,69.17,11.32,72.46
44.13,19.91,51,13.5,71.54
50.13,4.98,59.79,20.47,126.92
15.53,9.95,12.31,7.84,37.38
27.18,7.47,15.24,15.68,49.85
43.78,19.91,86.17,10.89,55.85
37.42,48.53,41.03,36.58,21.23
14.83,102.04,3.52,99.3,4.15
16.24,52.26,26.38,42.24,27.23
13.77,74.66,12.9,97.55,14.31
46.25,32.35,45.13,57.92,60
24.71,6.22,35.76,32.23,34.15
7.06,12.44,3.52,7.4,25.85
8.47,2.49,9.96,11.76,7.85
24.36,8.71,30.48,11.76,23.54
19.06,7.47,6.45,13.5,38.77
32.13,2.49,52.17,11.76,67.38
27.18,11.2,21.1,38.76,16.15
8.12,6.22,8.21,15.24,18.46
23.65,2.49,6.45,6.1,7.85
14.47,1.24,8.21,12.19,12.92
6,6.22,9.96,5.66,11.08
22.59,4.98,13.48,10.02,14.31
10.24,4.98,8.21,6.53,14.77
29.3,7.47,30.48,7.4,40.15
55.78,9.95,49.24,3.05,5.54
56.49,7.47,63.31,5.23,54.46
63.19,11.2,59.2,13.07,68.77
14.12,23.64,10.55,54.87,11.08
31.42,14.93,35.76,14.37,12.46
20.83,6.22,16.41,16.11,15.23
28.24,6.22,15.24,37.45,10.62
25.77,6.22,21.1,12.19,43.85
4.24,2.49,9.38,5.66,3.23
24.36,2.49,30.48,14.37,7.38
13.77,1.24,5.28,6.97,47.54
32.83,8.71,39.27,42.68,57.69
9.18,8.71,8.79,16.98,7.38
8.47,6.22,3.52,7.84,6
9.18,12.44,8.79,7.4,4.62
15.89,3.73,9.38,9.58,13.38
51.9,2.49,56.86,20.47,51.69
9.53,9.95,1.17,6.1,16.15
30.71,4.98,32.82,8.71,76.15
5.65,23.64,8.79,39.2,0.46
13.06,19.91,5.86,43.12,9.69
6.35,14.93,5.28,59.23,2.31
18,11.2,16.41,27.44,23.54
4.59,14.93,0.59,49.65,6
8.12,19.91,7.03,60.1,10.15
26.12,21.15,27.55,26.57,68.31
10.24,21.15,4.1,71.42,5.08
15.89,37.33,3.52,74.47,4.62
18.71,4.98,49.82,13.94,9.69
39.54,17.42,35.76,41.81,15.69
64.61,26.13,86.75,51.39,46.61
38.13,12.44,58.62,56.18,45.69
11.3,8.71,17.58,16.55,6.46
37.07,12.44,39.27,19.6,25.38
37.42,21.15,48.06,60.1,22.15
30.01,18.67,17.58,85.36,23.54
11.65,12.44,10.55,42.68,6
12.36,38.58,12.9,82.31,6.92
15.18,22.4,11.72,16.98,11.54
7.77,29.86,11.72,58.36,4.62
10.24,19.91,9.96,43.12,4.15
22.95,4.98,19.34,16.55,35.08
11.3,8.71,8.21,7.4,46.15
14.83,17.42,17,15.24,20.31
21.18,12.44,24.62,54,12.92
26.48,14.93,22.86,6.53,14.77
17.65,3.73,19.34,3.92,36.46
24.36,26.13,45.13,10.45,35.08
31.07,28.62,25.2,29.18,15.69
29.3,124.44,14.65,38.33,30.46
4.24,7.47,9.38,6.53,4.15
19.42,19.91,22.86,12.19,19.85
13.42,1.24,10.55,7.4,40.61
11.65,7.47,38.69,10.02,47.08
25.42,4.98,7.03,21.78,18.46
32.48,22.4,53.93,20.47,43.85
23.65,19.91,21.69,14.37,30.92
35.66,6.22,44.55,6.97,57.69
48.01,11.2,45.13,6.53,54.46
40.6,4.98,39.27,15.68,33.23
31.42,9.95,13.48,14.37,38.31
48.01,13.69,43.38,22.21,72
23.65,7.47,41.03,7.84,26.77
3.88,4.98,4.1,5.23,26.77
10.24,4.98,9.38,11.32,36
13.77,8.71,14.65,9.15,30
27.89,14.93,22.27,3.92,67.85
21.18,2.49,21.69,7.4,114.46
21.89,17.42,17,9.15,48.46
31.77,7.47,18.17,13.5,44.31
18.71,12.44,15.83,15.24,53.54
8.83,4.98,8.21,8.71,12
57.9,7.47,82.65,17.86,62.31
45.19,1.24,45.72,17.42,24.92
16.24,8.71,18.17,12.19,45.69
51.9,9.95,57.44,17.42,68.77
27.54,14.93,35.76,8.71,16.15
41.31,54.75,44.55,77.52,57.69
34.95,9.95,38.69,13.07,32.31
47.66,19.91,48.06,57.49,36
31.42,8.71,48.65,51.83,23.54
10.94,8.71,2.93,14.81,13.85
25.07,4.98,31.65,23.08,70.61
32.48,8.71,12.31,24.39,30.92
44.48,7.47,58.03,7.4,6
42.01,7.47,46.89,17.86,47.54
60.72,8.71,65.65,8.71,84.46
36.01,3.73,52.75,3.92,6
46.6,3.73,45.72,12.63,20.77
23.3,6.22,28.14,6.1,48
33.89,8.71,36.34,8.71,43.38
26.83,9.95,38.1,6.53,5.08
13.06,4.98,8.21,4.36,53.54
24.36,2.49,29.89,9.58,31.85
30.71,11.2,47.48,14.81,48.46
37.07,16.18,53.93,14.81,46.61
18.36,6.22,22.27,6.97,24
25.42,9.95,21.69,10.45,21.69
44.84,6.22,53.34,2.18,13.85
9.53,13.69,21.1,8.27,7.85
16.24,12.44,21.69,13.5,27.23
30.36,12.44,25.79,53.13,29.54
11.3,2.49,6.45,26.57,6.92
14.83,14.93,14.07,20.47,51.23
18.71,1.24,6.45,6.1,18
20.83,7.47,15.83,11.32,62.31
24.71,17.42,24.03,38.33,29.54
32.13,34.84,22.86,59.67,49.38
18.36,27.38,25.2,17.86,19.38
23.3,4.98,28.14,5.23,5.08
50.13,12.44,84.41,14.37,12.92
16.95,2.49,8.21,20.47,14.31
36.72,29.86,36.93,65.76,54.92
33.19,7.47,53.34,14.81,42
15.53,14.93,16.41,50.08,12.46
5.65,13.69,4.1,29.18,10.15
10.24,29.86,5.86,23.95,27.23
50.48,51.02,59.79,70.12,98.31
18.36,7.47,36.34,10.89,8.31
42.36,12.44,49.24,16.98,63.23
20.48,8.71,41.03,25.26,23.08
3.18,9.95,4.1,5.66,12
21.54,2.49,25.79,13.07,38.31
6,3.73,7.03,7.4,17.54
10.24,11.2,6.45,16.98,20.77
15.89,9.95,24.03,6.1,35.08
18,18.67,9.96,10.02,23.08
3.88,8.71,8.79,6.53,6
5.3,3.73,2.34,2.61,12.92
9.18,14.93,7.62,23.08,8.77
10.94,46.04,5.28,71.42,21.69
41.66,9.95,42.2,9.15,93.69
19.06,7.47,19.34,8.27,14.77
12.71,39.82,7.03,23.52,16.15
14.47,12.44,8.79,15.68,30.92
27.18,21.15,14.65,27.44,49.38
16.59,8.71,8.79,5.23,30.46
6,6.22,8.79,8.71,15.69
16.24,17.42,25.2,7.4,13.38
21.89,28.62,22.27,19.6,24.92
27.54,12.44,23.45,23.95,52.15
14.83,18.67,28.14,11.32,22.15
12,8.71,7.62,28.31,4.15
6,8.71,3.52,12.19,12.46
20.12,0,12.31,10.45,22.62
61.78,11.2,87.34,37.02,89.54
26.83,4.98,16.41,15.24,59.08
18.36,12.44,24.03,9.58,25.85
41.66,0,48.06,43.55,40.15
12.36,6.22,8.21,13.5,20.77
32.83,14.93,34,21.78,26.77
36.72,12.44,48.06,21.78,48
57.54,16.18,76.79,52.26,55.38
17.3,7.47,18.17,11.32,10.62
23.3,2.49,17.58,4.79,11.54
35.66,6.22,69.75,8.71,88.15
46.25,7.47,62.13,10.02,40.15
14.12,7.47,1.76,7.4,10.62
6,69.68,5.86,46.6,19.85
12,19.91,4.69,14.81,7.85
