UNIQUD,NAME,MPP,CMP,GMP,MEP,EryA,Gn
NM_001039488,Lrif1,15.2252,40.8596,36.6448,53.8605,6.5285,9.3782
NM_025390,Pop4,95.9207,158.5401,142.9166,283.782,12.5572,24.3329
NM_146203,Zfp764,17.7165,23.0466,21.6225,12.865,3.0135,7.278
NR_030602,Mir449b,0,0,0,0,0,0
NR_045904,2310008N11Rik,0,0,0,0,0,0.1176
NR_046303,AF357426,0,0,0,0,0,0
NM_173422,Colec10,0.7872,0,0,0,0,0
NM_172402,Slc25a32,27.4337,68.4423,55.3353,142.3136,16.5743,10.7834
NM_172762,Rbm34,100.6597,154.6964,157.2121,319.2019,39.1756,24.4403
NM_183296,Krtap16-3,0,0,0,0,0,0
NM_145937,Sumf1,133.0756,157.5139,142.1745,204.2128,55.2403,101.2687
NM_025621,2310050C09Rik,0,0,0,0,0,0
NM_145363,Tspan10,0,0.3495,0,0,0,3.873
NM_001190156,Snx7,11.0223,16.0639,24.5518,4.8236,1.506,3.4237
NM_001034881,Gm5464,1.1808,1.3965,0,0,0,0.4108
NM_011970,Psmb2,195.5384,459.1729,530.6498,1192.3558,171.7763,67.7552
NM_026648,Dnaaf1,1.4435,0,0.3665,11.2499,0.5025,0.2743
NM_001110830,Rbfox2,4.199,3.4914,4.7644,0,0,0.3523
NM_001244671,Gm10377,0,0,0,0,0,0
NM_008883,Plxna3,15.2236,6.2852,9.8946,12.064,0.5019,1.1149
NR_045668,Gm5124,18.8984,9.0802,8.0626,24.9368,2.009,0.6063
NM_011082,Pigr,7.4784,0.6985,0,0.8035,3.5157,1.2718
NM_001038655,Gng7,14.5646,9.0789,14.6578,9.6497,3.0125,2.1906
NM_021431,Nudt11,0,0,0,0,0,0
NM_001164437,Tmem212,0,0.699,0,0.8035,0,0.0588
NM_028862,Rnf145,105.2402,126.0629,108.4716,504.9295,797.5735,83.0388
NM_027469,Gfod2,30.1824,39.4633,21.2552,66.7265,11.0485,3.4465
NR_035429,Mir1197,0,0,0,0,0,0
NM_019566,Rhog,487.5957,382.3521,543.4825,717.978,350.5639,876.1935
NM_011265,Rfx3,30.7084,55.8759,41.046,53.871,21.5984,15.8881
NM_027832,Sval1,0,0,0,0,0,0
NM_172553,Alx1,1.1811,0.3491,0,0,0.5025,0.0196
NM_009809,Casp14,0,0,0,0,0,0
NM_027844,Krtap5-2,0,0,0,0,0,0
NM_001204273,Lsm2,156.3144,310.4466,281.0685,847.4716,215.4725,19.3
NM_011458,Serpina3k,0,0,0,0,0,0
NM_001164081,Timeless,295.1667,409.6107,391.0165,1057.2838,232.5384,16.121
NM_001198792,Ak1,3.2826,5.5874,0.7331,8.8475,0,0.1568
NM_001123386,Cdyl,49.8734,66.3507,66.6958,275.8023,317.9287,39.2073
NM_177000,C130050O18Rik,12.7305,14.3171,22.7192,4.0201,10.0441,66.3312
NM_001122739,Inppl1,12.4651,19.5554,26.7524,29.7496,8.5386,20.7574
NR_027506,Speer5-ps1,0,0,0,0,0,0
NM_001271777,C8g,4.0681,5.2388,4.3977,3.2178,0.5025,0.8218
NM_025868,Tmx2,24.5414,39.1141,41.4085,73.9631,44.6995,3.0925
NM_026792,Agpat5,191.7585,394.5991,491.0685,739.6811,47.2132,38.4348
NM_025655,Tmigd1,0.1312,0,0,0,0,0
NM_001271569,1700065D16Rik,2.6269,5.2392,0.7329,1.607,0,0.0391
NM_001164411,Cnot4,78.483,154.6987,108.1022,270.1911,197.8818,49.9183
NM_001104628,Vmn2r17,0.1312,0,0.3665,0,0,0
NR_102319,9330188P03Rik,0,0,0,0,0,0
NM_009534,Yap1,0.5248,0.349,0,0,0,0.0979
NM_001271431,Cd82,235.9577,126.4058,118.3646,1387.0096,4465.6741,548.1215
NM_001285457,Gfra1,18.2374,2.4443,1.4657,6.4344,0.5025,0.137
NR_044986,4933406C10Rik,13.3872,13.2711,13.9253,10.4559,2.5105,0.4509
NM_001113204,Ncam1,18.77,8.0325,47.2731,8.8435,1.5071,27.2399
NM_207567,Olfr1198,0,0,0,0,0,0
NM_008941,Tmprss15,0.656,0,0,0,0,0
NM_030733,Gpr63,2.624,1.3961,0,0,0,0.0782
NM_027462,Wars2,46.1947,58.3183,65.5971,147.1176,17.0778,17.6253
NM_205810,Mrgprb1,0.1312,0,0,0,0,0
NM_170704,Cd40,1.8374,6.2872,1.8322,2.4105,26.62,85.4859
NM_019952,Clcf1,2.6243,2.4448,2.9314,0.8048,0,0.8607
NM_008430,Kcnk1,0,0,0,0,0,0.1174
NM_017396,Cyp3a41a,0,0,0,0,0,0
NM_001080930,Atxn1l,48.9501,105.8076,104.4405,130.2734,31.1405,33.7202
NM_001278569,Cryaa,0,0,0,0.8048,0,0.0391
NM_001166474,Vmac,44.2195,36.317,42.1443,76.3933,6.5301,8.3734
NM_029742,Klhdc10,178.3424,322.3119,303.7895,531.4299,217.9739,49.0814
NR_040388,Gm2837,0,0,0,0,0,0
NM_172615,1700021K19Rik,87.3942,112.7942,104.8068,67.5524,47.2106,61.284
NM_001256085,Rnf6,157.2204,173.1957,169.6701,208.2526,200.3919,57.517
NR_104382,Abcg8,0,0,0,0,0,0
NM_001039347,Kcnd3,10.1026,1.0474,0,0,1.0046,0.4888
NM_010933,Nppc,0,0,0,0,0,0
NM_147121,Olfr644,0,0.349,0,0,0,0
NM_175372,Rdh13,17.0605,35.2673,39.2122,88.4364,3.5157,8.2397
NM_027298,Ccdc89,0.3937,0.3491,1.8325,0,0,0.1174
NR_073181,Fth1,2101.5064,3382.0163,2882.7501,16300.8091,16495.2527,1970.9556
NM_001163233,Fancg,58.007,95.3342,68.5268,135.8978,69.813,11.664
NM_029982,A930009A15Rik,0,0,0,0,0,0.0392
NM_001253873,Itgal,184.5082,338.3705,304.1645,82.8196,35.6605,281.1151
NM_009703,Araf,135.5636,200.0915,211.0781,356.1839,55.7519,87.3459
NM_001039519,Gtf2a2,144.4873,265.3941,289.1359,976.0251,372.151,48.0074
NM_172652,Kansl3,164.3035,253.5157,187.6292,361.7938,106.4785,51.6115
NM_023048,Asb4,4.0673,0,0.7325,0,0,0.4498
NM_054095,Necab2,4.5923,0,0,0,0,0.0393
NM_001159769,Nr5a2,3.805,1.0479,0.3665,3.214,0,0.0196
NR_038090,AI506816,1.3139,2.444,1.0993,0.8048,0,0.0391
